ClientId,ProductLine,ProductSales
141.0,Omega Oil,11.99
52713.0,Pumpkin,59.97
54438.0,Hip & Joint,24.99
54438.0,Pumpkin,19.99
68090.0,Yak Chew,17.99
79584.0,Yak Chew,17.99
87255.0,Pumpkin,19.99
89107.0,Yak Chew,17.99
89434.0,Probiotic,119.96
93572.0,Yak Chew,53.97
93861.0,Pumpkin,19.99
93862.0,Omega Oil,11.99
93863.0,Yak Chew,17.99
93864.0,Omega Oil,11.99
93865.0,Pumpkin,19.99
93866.0,Yak Chew,24.99
93867.0,Pumpkin,53.980000000000004
93868.0,Omega Oil,11.99
93869.0,Yak Chew,17.99
93870.0,Yak Chew,35.98
93871.0,Yak Chew,0.0
93872.0,Yak Chew,49.98
93873.0,Pumpkin,19.99
93874.0,Yak Chew,68.96
93875.0,Pumpkin,39.98
93876.0,Yak Chew,17.99
93890.0,Bladder,149.95
93985.0,Yak Chew,359.92
93986.0,Pumpkin,19.99
93987.0,Yak Chew,74.95
93988.0,Omega Oil,23.98
93989.0,Probiotic,59.98
93990.0,Omega Oil,0.0
93991.0,Allergy,31.99
93992.0,Pumpkin,0.0
93993.0,Pumpkin,59.97
93994.0,Yak Chew,17.99
93995.0,Yak Chew,185.93
93996.0,Yak Chew,209.96999999999997
93997.0,Pumpkin,19.99
93998.0,Yak Chew,29.99
93999.0,Yak Chew,0.0
94000.0,Pumpkin,19.99
94001.0,Pumpkin,19.99
94002.0,Allergy,31.99
94003.0,Omega Oil,19.99
94004.0,Pumpkin,189.94000000000003
94005.0,Pumpkin,19.99
94006.0,Probiotic,29.99
94007.0,Allergy,63.98
94008.0,Pumpkin,59.97
94009.0,Bone Broth,0.0
94010.0,Yak Chew,0.0
94011.0,Yak Chew,17.99
94012.0,Bladder,29.99
94013.0,Bone Broth,19.99
94014.0,Yak Chew,35.98
94015.0,Yak Chew,17.99
94016.0,Bone Broth,19.99
94017.0,Probiotic,59.98
94018.0,Omega Oil,11.99
94019.0,Allergy,31.99
94020.0,Omega Oil,11.99
94021.0,Yak Chew,137.91
94022.0,Yak Chew,29.98
94023.0,Omega Oil,11.99
94024.0,Yak Chew,17.99
94026.0,Yak Chew,0.0
94027.0,Yak Chew,17.99
94028.0,Allergy,31.99
94029.0,Yak Chew,35.98
94030.0,Yak Chew,42.98
94031.0,Pumpkin,19.99
94032.0,Omega Oil,35.97
94033.0,Yak Chew,17.99
94034.0,Probiotic,29.99
94035.0,Pumpkin,53.980000000000004
94036.0,Yak Chew,99.96
94037.0,Probiotic,119.96
94038.0,Pumpkin,67.98
94039.0,Yak Chew,14.99
94040.0,Omega Oil,11.99
94041.0,Pumpkin,33.99
94042.0,Yak Chew,17.99
94043.0,Pumpkin,33.99
94044.0,Yak Chew,17.99
94045.0,Yak Chew,179.95999999999998
94046.0,Yak Chew,17.99
94047.0,Yak Chew,14.99
94048.0,Yak Chew,49.99
94049.0,Pumpkin,19.99
94050.0,Bladder,59.98
94051.0,Bladder,29.99
94052.0,Yak Chew,29.99
94053.0,Allergy,31.99
94054.0,Pumpkin,19.99
94055.0,Bladder,29.99
94056.0,Bladder,29.99
94057.0,Yak Chew,14.99
94058.0,Yak Chew,49.98
94059.0,Pumpkin,19.99
94060.0,Omega Oil,11.99
94061.0,Yak Chew,49.98
94062.0,Omega Oil,39.98
94063.0,Bone Broth,19.99
94064.0,Bone Broth,67.98
94064.0,Omega Oil,31.979999999999997
94065.0,Pumpkin,19.99
