,Date,ClientId,Sku,Type,ProductSales,Product,month
207233,2021-10-07,111198.0,6oz_Broth,Order,19.99,Bone Broth,10
208347,2021-09-01,109630.0,PR-BLJ-7.5_FBA,Order,29.99,Bladder,9
208357,2021-09-01,109632.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208379,2021-09-01,109646.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208398,2021-09-02,109654.0,5_Small_Yak,Order,14.99,Yak Chew,9
208420,2021-09-02,109663.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208423,2021-09-01,109665.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208432,2021-09-01,109670.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208433,2021-09-01,109670.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208434,2021-09-01,109654.0,5_Small_Yak,Order,14.99,Yak Chew,9
208440,2021-09-01,109672.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208441,2021-09-01,109673.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208445,2021-09-01,109675.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208450,2021-09-01,109676.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208454,2021-09-01,109679.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208464,2021-09-01,109684.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208466,2021-09-01,109685.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208467,2021-09-01,109688.0,5_Small_Yak,Order,14.99,Yak Chew,9
208474,2021-09-01,109689.0,10_Medium_Yak,Order,49.99,Yak Chew,9
208479,2021-09-01,109691.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208480,2021-09-01,109691.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208481,2021-09-01,109693.0,5.4oz_Beef,Order,19.99,Bone Broth,9
208507,2021-09-01,109702.0,3_Large_Yak,Order,24.99,Yak Chew,9
208513,2021-09-01,109705.0,6oz_Broth,Order,19.99,Bone Broth,9
208529,2021-09-01,109713.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208534,2021-09-01,109715.0,QM-BN2C-I2R9,Order,17.99,Yak Chew,9
208535,2021-09-01,109717.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208543,2021-09-01,109719.0,ZK-QAIN-CGO2,Order,19.99,Omega Oil,9
208552,2021-09-01,109722.0,PR-ALLERJ-8.2_FBA,Order,31.99,Allergy,9
208554,2021-09-01,109723.0,PR-BLJ-7.5_FBA,Order,29.99,Bladder,9
208559,2021-09-01,109725.0,QX-48VR-0UZS,Order,33.99,Bone Broth,9
208565,2021-09-01,109729.0,5_Small_Yak,Order,14.99,Yak Chew,9
208569,2021-09-01,109732.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208571,2021-09-01,109731.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208581,2021-09-01,109734.0,PR-ALLERJ-8.2_FBA,Order,31.99,Allergy,9
208582,2021-09-01,109734.0,ZK-QAIN-CGO2,Order,19.99,Omega Oil,9
208584,2021-09-01,109735.0,NT-RGS9-UUR2,Order,39.99,Yak Chew,9
208586,2021-09-01,109736.0,PR-ALLERJ-8.2_FBA,Order,31.99,Allergy,9
208598,2021-09-01,109738.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208603,2021-09-01,109739.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208604,2021-09-01,109740.0,ZK-QAIN-CGO2,Order,19.99,Omega Oil,9
208608,2021-09-01,109741.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208611,2021-09-01,109743.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208621,2021-09-01,109746.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208624,2021-09-01,109745.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208628,2021-09-01,109747.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208630,2021-09-01,109748.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208633,2021-09-01,109749.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208642,2021-09-01,109753.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208643,2021-09-01,109759.0,3_Large_Yak,Order,24.99,Yak Chew,9
208644,2021-09-01,109754.0,5_Small_Yak,Order,14.99,Yak Chew,9
208648,2021-09-01,109758.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208653,2021-09-01,109760.0,ZK-QAIN-CGO2,Order,19.99,Omega Oil,9
208654,2021-09-01,109761.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208656,2021-09-01,109762.0,QM-BN2C-I2R9,Order,17.99,Yak Chew,9
208658,2021-09-01,109771.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208659,2021-09-01,109763.0,PR-ALLERJ-8.2_FBA,Order,31.99,Allergy,9
208660,2021-09-01,109765.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208661,2021-09-01,109765.0,6oz_Broth,Order,19.99,Bone Broth,9
208662,2021-09-01,109764.0,QX-48VR-0UZS,Order,33.99,Bone Broth,9
208666,2021-09-01,109766.0,PR-BLJ-7.5_FBA,Order,29.99,Bladder,9
208671,2021-09-01,109767.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208674,2021-09-01,109769.0,3_Large_Yak,Order,24.99,Yak Chew,9
208678,2021-09-01,109773.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208679,2021-09-01,109772.0,PR-Pro-8.2,Order,29.99,Probiotic,9
208681,2021-09-01,109774.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208693,2021-09-01,109780.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208694,2021-09-01,109781.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208697,2021-09-01,109782.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208700,2021-09-01,109783.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208701,2021-09-01,109784.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208706,2021-09-01,109785.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208708,2021-09-01,109786.0,5_Small_Yak,Order,14.99,Yak Chew,9
208709,2021-09-01,109787.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208710,2021-09-01,109788.0,Small_Pumpkin_8oz,Order,19.99,Pumpkin,9
208716,2021-09-01,109790.0,DR-OLT5-HOKW,Order,11.99,Omega Oil,9
208717,2021-09-01,109791.0,9C-O5JI-5W9H,Order,33.99,Pumpkin,9
208720,2021-09-01,109792.0,PR-BLJ-7.5_FBA,Order,29.99,Bladder,9
208726,2021-09-01,109795.0,10_Medium_Yak,Order,49.99,Yak Chew,9
208727,2021-09-01,109793.0,PR-Pro-8.2,Order,29.99,Probiotic,9
