Sku,1,2,3,4,5,6,7,8,9,10,11,12
10_Medium_Yak,46.91574866,48.61592932,47.9929768,49.41868571,48.47951079,49.3509233,48.54716469,48.37533592,47.02962315,49.44793976,48.39965005,48.21909919
QM-BN2C-I2R9,17.42031667,17.42898129,17.88724893,17.79623016,17.98065455,17.70653348,17.91664628,17.91691236,18.04036864,17.85346875,18.03425584,18.3672396
5_Small_Yak,14.20738956,14.49270142,14.58880779,14.16784439,14.64768029,14.18118705,14.52110459,14.64407692,14.06062,14.10554425,14.53001805,14.85372727
3_Large_Yak,22.69691011,23.21651613,23.87162037,24.70317073,24.52550186,24.71921053,23.88018377,25.18173913,24.22206146,24.47930518,24.56489672,24.83478261
3_Extra Large_Yak,27.71047506,29.378,29.31606742,29.07870166,29.32355556,29.12866841,28.7904,29.66490515,28.94096708,28.74041667,29.67814558,29.72302671
10_Large_Yak,67.11651026,67.9787931,67.90074627,65.95211538,66.80863636,67.7890566,69.13385321,66.911261,68.8202507,66.71774026,68.44987775,68.97774793
10_Extra Large_Yak,82.96642857,81.68483333,80.7405,75.60798701,77.16883436,77.02814815,79.52014493,76.57534161,84.40441379,79.31322034,85.20792271,86.68761468
NT-RGS9-UUR2,38.75682819,38.61629771,38.48866894,39.14514085,38.09858108,39.25398773,39.17053279,38.3036747,38.73317143,38.11253521,38.49659751,39.33322993
6oz_Broth,17.689922,17.1039839,18.74970588,18.46004535,17.91453461,18.49679012,18.36463415,18.78078629,18.00830424,19.19572603,18.46,18.92264865
QX-48VR-0UZS,32.53804762,32.24904878,33.99,34.28642442,33.39193548,33.88444099,32.34697885,33.81746193,30.21333333,33.26680851,32.81455331,34.62993827
5.4oz_Beef,17.38926027,15.81447552,16.55794393,19.19711765,18.48572289,18.35598765,17.49232143,18.58679775,18.05553191,18.63870588,18.71557292,17.36521569
10.8oz_Beef,31.12768421,33.99,31.43379747,32.6304,32.94415385,33.99,34.40962963,33.99,32.6304,32.857,32.41430464,31.76114754
DR-OLT5-HOKW,11.61628571,11.10807356,10.93477448,11.37173112,11.26741573,11.13741766,10.41492989,11.07371653,11.17522318,11.22884978,11.32433445,11.37244785
ZK-QAIN-CGO2,20.35678899,19.49335404,18.90527132,19.79273026,19.28238938,19.22665871,18.740625,19.60422807,19.67814353,19.52890095,19.31588846,19.89188957
PR-OO-8,11.7966129,11.99,5.995,11.99,11.99,11.99,11.99,11.99,11.99,11.99,14.388,11.99
PR-OO-16,19.99,19.99,19.99,19.99,,19.99,39.98,0,1.665833333,9.226153846,3.748125,0
Small_Pumpkin_8oz,19.07733599,18.87751304,18.94335377,18.94196086,18.84130724,18.4021539,19.11301226,18.54132218,14.33357692,16.25954895,17.83186564,18.23057636
9C-O5JI-5W9H,33.31874003,33.53191375,32.96329627,33.89893503,33.62476158,30.93988322,33.09380064,33.36934479,32.14676119,32.15125525,33.41258433,31.91743902
Small_Pumpkin_8oz-stickerles,,,,,,,,,19.99,,19.99,19.99
VK-X3R0-SUNB,28.0462037,26.52162679,24.11396104,24.81524476,24.55913793,24.08674699,25.18992,24.54639053,24.59953125,22.15022727,18.7425,
PR-HJJ-60,29.20078947,28.32333333,,,24.99,,,,,25.85172414,-62.475,
PR-ALLERJ-8.2_FBA,,,,,,32.44040936,31.0683121,30.90097872,31.30405458,30.87642405,30.24165436,29.10008654
PR-ALLERJ-8.2,,,,,34.99,34.99,,,,,,34.99
PR-BLJ-7.5_FBA,,,,,,30.64413502,29.33804348,29.00037303,28.24349418,28.38263752,27.92446358,26.3354397
PR-BLJ-7.5,,,,,34.99,34.99,29.99,29.99,29.99,29.99,44.985,29.99
PR-Pro-8.2,28.84332353,27.49852308,28.1282047,26.49411483,26.38826555,26.9136211,28.62340887,28.40085553,28.44360861,28.67669121,28.19173932,27.78771642
Q2-XMV2-E15G,,,31.92483871,-29.99,,,,,,,,
PR-Pro-16.4,,,,,,,,,,,54.35318182,53.14533333
13-3B0D-U7XZ,,,,,,,,,,23.99,23.99,
PR-Rlf-60ct,,,,,,,,,,23.99,24.33768116,23.69321649
PR-ADC-Calm60,,,,,,,,,,22.02581433,20.70163782,20.47143426
PR-ADC-Calm60_MF,,,,,,,,,,21.68876712,15.70714286,21.99
