Product,Sku,1,2,3,4,5,6,7,8,9,10,11,12
Allergy,PR-ALLERJ-8.2,,,,,12.0,7.0,,,,,,13.0
Allergy,PR-ALLERJ-8.2_FBA,,,,,,312.0,538.0,308.0,308.0,396.0,367.0,509.0
Bladder,PR-BLJ-7.5,,,,,8.0,4.0,,2.0,1.0,2.0,1.0,2.0
Bladder,PR-BLJ-7.5_FBA,,,,,,218.0,505.0,564.0,427.0,467.0,453.0,396.0
Bone Broth,10.8oz_Beef,26.0,,25.0,19.0,18.0,24.0,21.0,60.0,34.0,41.0,42.0,30.0
Bone Broth,5.4oz_Beef,234.0,109.0,94.0,84.0,81.0,66.0,75.0,226.0,103.0,67.0,84.0,116.0
Bone Broth,6oz_Broth,369.0,294.0,298.0,242.0,229.0,185.0,163.0,286.0,186.0,155.0,185.0,167.0
Bone Broth,QX-48VR-0UZS,131.0,118.0,87.0,65.0,71.0,50.0,54.0,105.0,62.0,62.0,73.0,54.0
Calm for Dogs,PR-ADC-Calm60,,,,,,,,,,628.0,1144.0,447.0
Calm for Dogs,PR-ADC-Calm60_MF,,,,,,,,,,46.0,2.0,2.0
Hip & Joint,PR-HJJ-60,30.0,2.0,,,1.0,,,,,7.0,,
Hip & Joint,VK-X3R0-SUNB,96.0,167.0,72.0,68.0,30.0,51.0,19.0,29.0,38.0,1.0,,
Omega Oil,DR-OLT5-HOKW,370.0,491.0,765.0,876.0,693.0,999.0,926.0,1018.0,1004.0,1006.0,930.0,969.0
Omega Oil,PR-OO-16,13.0,3.0,1.0,1.0,,1.0,,,2.0,2.0,2.0,
Omega Oil,PR-OO-8,50.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,9.0,5.0
Omega Oil,ZK-QAIN-CGO2,103.0,127.0,192.0,213.0,205.0,227.0,211.0,270.0,292.0,300.0,299.0,281.0
Probiotic,PR-Pro-16.4,,,,,,,,,,,13.0,102.0
Probiotic,PR-Pro-8.2,473.0,389.0,315.0,404.0,352.0,342.0,485.0,563.0,724.0,1170.0,1178.0,839.0
Pumpkin,9C-O5JI-5W9H,308.0,192.0,232.0,413.0,373.0,342.0,328.0,469.0,525.0,373.0,306.0,307.0
Pumpkin,Small_Pumpkin_8oz,1405.0,961.0,1196.0,1800.0,1867.0,1723.0,1688.0,2202.0,1709.0,1805.0,1225.0,1305.0
Relief for Dogs,13-3B0D-U7XZ,,,,,,,,,,1.0,1.0,
Relief for Dogs,PR-Rlf-60ct,,,,,,,,,,1.0,314.0,312.0
Yak Chew,10_Extra Large_Yak,56.0,49.0,36.0,41.0,42.0,45.0,34.0,35.0,32.0,28.0,48.0,44.0
Yak Chew,10_Large_Yak,102.0,77.0,74.0,55.0,68.0,72.0,67.0,67.0,86.0,82.0,70.0,76.0
Yak Chew,10_Medium_Yak,185.0,184.0,182.0,142.0,177.0,151.0,111.0,181.0,160.0,172.0,213.0,193.0
Yak Chew,3_Extra Large_Yak,175.0,212.0,237.0,105.0,31.0,173.0,200.0,82.0,180.0,178.0,199.0,252.0
Yak Chew,3_Large_Yak,257.0,215.0,308.0,345.0,423.0,247.0,292.0,338.0,308.0,265.0,296.0,350.0
Yak Chew,5_Small_Yak,476.0,357.0,413.0,457.0,479.0,433.0,552.0,441.0,445.0,389.0,505.0,637.0
Yak Chew,NT-RGS9-UUR2,99.0,98.0,128.0,103.0,118.0,124.0,74.0,134.0,102.0,119.0,151.0,165.0
Yak Chew,QM-BN2C-I2R9,1168.0,1164.0,1304.0,943.0,1061.0,905.0,999.0,818.0,1126.0,1122.0,1206.0,1383.0
